,commands
1591,Hey girls! Look at me!
1592,You can stop lookin' at me now.
1593,"Well, it's nearly one o'clock. And you know what that means."
1594,My glasses.
1595,That's right. It's time for our field trip to the chocolate factory. I trust you all remembered to bring your permission slips.
1596,What a day.
1597,I'm gonna eat EIGHT pieces of chocolate.
1598,I'm gonna eat chocolate till I barf.
1599,"Don't worry,  we'll find something fun for you to do."
1600,Ah! Here we are! Here's a whole box of unsealed envelopes for the PTA.
1601,You're making me lick envelopes?
1602,"Oh, licking envelopes can be fun! All you have to do is make a game of it."
1603,What kind of game?
1604,"Well... for example... you could see how many you can lick in an hour, and then try to break that record."
1605,Sounds like a pretty crappy game to me.
1606,Yes... well... get started.
1607,Oh my God. It's Cocoa Beanie himself.
1608,I think this is something Bart would really have enjoyed. But it's the only way he'll learn.
1609,"Welcome to the chocolate factory. I'm Troy McClure. You probably remember me from such films as ""The Revenge of Abe Lincoln"" and ""The Wackiest Covered Wagon in the West."" The history of chocolate starts with the ancient Aztecs."
1610,"In those days, instead of being wrapped in a hygienic package, chocolate was wrapped in a tobacco leaf."
1611,"And instead of being pure chocolate like we have today, it was mixed with shredded tobacco. And they didn't eat it. They smoked it."
1612,"You didn't believe me when I said it would be fun, did you?"
1613,No thir.
1614,"Please, kids, play sanitary."
1615,Tan Die Doe Dow?
1616,Tan... Die.... Doe... Dow.
1617,"Hmm... Well there's still a minute to go... oh, why not! But don't you tell your teacher I let you go home early."
1618,Die don't.
1619,What next?
1620,"Hey, what's with the kid?"
1621,Hands off the material!
1622,Whaddaya know! The kid's tough.
1623,He's got spunk.
1624,"I wonder if he is lucky also. Pick a horse, kid. Shelbyville Downs. Third race. Make it a good one."
1625,Eat my shorts.
1626,"Eat my shorts. Ah, okay. Let's see... Heyy... Wait a minute, you little punk! Eat My Shorts is in the fifth race. I said the third race!"
1627,Don't have a cow.
1628,"Hmm... ""Don't have a cow"" in the third. Put a deuce on him."
1629,"While we are waiting to see how lucky you are, let me show you around. This is our bar, and over there is our slot machine and card tables...."
1630,Hey Boss! Here's the call for the third race.
1631,"...As they come out of the turn it's ""Sufferin Succotash"" by a neck over ""Yabbadabbadoo."" Two lengths back to ""Ain't I a Stinker"" and ""That's All Folks."" ""I Yam What I Yam"" can see them all. But here comes ""Donhavacow"" flyin' on the outside. And at the wire it's all ""Donhavacow!"""
1632,"Hey, I like this kid. I can't believe we were gonna shoot him. Can you mix drinks?"
1633,I'll have a Manhattan.
1634,Make Legs a Manhattan.
1635,I'm not sure I...
1636,You got a job? Doing what?
1637,"Oh... I dunno... mixing drinks, picking horses, cuttin' cigars... you know -- a job."
1638,your father and I don't want you doing that.  say something.
1639,How much does it pay?
1640,Thirty bucks a week.
1641,Pfft. I make more than that.
1642,"I was lookin' for those. Thanks, doll."
1643,It's funny because it's true.
1644,Well obsoived.
1645,"Chief Wiggum, you honor us with your presence."
1646,Baloney. I'm not gonna rest until one of us is behind bars -- You! You wouldn't happen to know anything about a cigarette truck that got hijacked on route 401?
1647,What's a truck?
1648,Don't play dumb with me!
1649,"Relax Chief, you seem tense. You know, the boy here makes an excellent Manhattan."
1650,"Ah... I'm still gonna put you away, you know."
1651,"Good for you, Chief."
1652,... Bart! Have you started smoking?
1653,Don't lie to me boy.
1654,"Aha! Cigarettes, just as I thought."
1655,They're not mine. My boss said his warehouse was full.
1656,"Yeah, right. Son... I'm gonna teach you a lesson. I'm going to stand here and watch you smoke every one of those cigarettes. Then maybe you'll learn..."
1657,Uh... Fat Tony sent me over to pick up the goods.
1658,Right in here my man.
1659,"Hey kid, you look good with that cigarette. Kind of sophisticated."
1660,"Son, I'll never doubt you again."
1661,The contents of the hijacked truck: some twelve thousand cartons of Laramie 100's.
1662,Homer? Homer!
1663,"We have... uh... Please, we have a number of leads. And let me assure all you smokers out there... there is no shortage of cigarettes."
1664,How do we know that?
1665,"All right, let me refer that question back to Jack Larson, of Laramie Tobacco Products. Jack?"
1666,"Thank you Chief. Folks, I'm pleased to announce that a new truckload of Laramies with their smooth good taste and rich tobacco flavor is already heading towards Springfield. And the driver has been instructed to ignore all stop signs and crosswalks."
1667,"The police suspect the involvement of reputed mobster William ""Fat Tony"" Williams."
1668,Fat Tony is a cancer on this fair city. He is the cancer and I am the... uh... ... what cures cancer?
1669,is your boss a crook?
1670,I don't think so. Although it would explain an awful lot.
1671,Me and the boys wish to thank you for hanging onto this stuff for us.
1672,"Thanks... uh... Say, are you guys crooks?"
1673,um... is it wrong to steal a loaf of bread to feed your starving family?
1674,"Well, suppose you got a large starving family. Is it wrong to steal a truckload of bread to feed them?"
1675,"And what if your family don't like bread, they like cigarettes?"
1676,I guess that's okay.
1677,"Now, what if instead of giving them away, you sold them at a price that was practically giving them away. Would that be a crime, Bart?"
1678,Hell no!
1679,Enjoy your gift.
1680,"THOSE FINGERS THROUGH MY HAIR / THAT SLY COME HITHER STARE / THAT STRIPS MY CONSCIENCE BARE / IT'S WITCHCRAFT - GIMME THREE FINGERS OF MILK, MA."
1681,"I know it's good for a boy to have a part-time job, but I'm not sure about the people Bart's working for. I thinks they're criminals."
1682,The kiss of death. That's all I need!
1683,"A job's a job. I mean, take me. If my plant pollutes the water and poisons the town, by your logic that would make me a criminal."
1684,"Well, Bart's been acting very strangely. And that pizza delivery truck has been parked across the street for two weeks."
1685,How long does it take to deliver a pizza?
1686,Looks like our cover's blown.
1687,Let's roll.
1688,See? It was all your imagination.
1689,"I want you to go down to that club and talk to them. Just see what kind of people they are. Please, Homie?"
1690,"Oh, all right."
1691,"Hee hee, hee-hee-hee! Read 'em and weep boys, another pair of sixes."
1692,Beats me.
1693,I was bluffin'.
1694,"You win again, Homer."
1695,I am thrilled you've decided to let your boy continue to work here.
1696,"You know if you need a hat check girl, I've got a daughter."
1697,you're a hellava father.
1698,what did you find out?
1699,the only thing going on down there was a lot of male bonding.
1700,"More ""stink lines"" boys."
1701,What's this? What are you boys doing?
1702,You ain't seen nothin'. Now beat it.
1703,"So, Fat Tony. You invite me and my associates to your club with the promise of the finest Manhattans in all of Springfield. Now you say your bartender isn't here?"
1704,I don't know what happened. He's never late. Louie! Make up some Manhattans.
1705,But I only know how to make wine spritzers.
1706,"What have I done to deserve this flat, flavorless Manhattan?"
1707,"Come on, boys."
1708,Lousy Skinner.
1709,You are late for work.
1710,Of course I'm late for work. How can I be on time when Principal Skinner keeps me after school?
1711,This guy Skinner causing you trouble?
1712,"He sure is, Patrone."
1713,"Hm... perhaps we should go to meet and greet this individual. Come on, boys."
1714,"Some large men to see you, sir."
1715,I don't have an appointment with any large men --
1716,You Skinner?
1717,"I'm PRINCIPAL Skinner, yes. And how, may I ask, did you get past the hall monitors?"
1718,"Children, I don't know how to break this to you, but Principal Skinner is... ... MISSING!"
1719,I thought I found him but it was only a cat.
1720,"Now please... Please, please, I can assure you we'll be using the most advanced, scientific techniques in the field of... body finding."
1721,I see wedding bells for Vanna White and Teddy Kennedy....
1722,"Please, Princess Opal, if we could just stick to Principal Skinner."
1723,"Chief Wiggum, I am merely a conduit for the spirits. Willie Nelson will astound his fans by swimming the English Channel."
1724,Really? Willie Nelson?
1725,He loved fire drills.
1726,"Will ya get a hold of yourself, Lass, for the wee bairns!"
1727,Hey look at me! I'm Skinner's body!
1728,"That is not funny, Lewis."
1729,"Well, I heard Skinner's buried under his parking spot."
1730,I heard he was ground up into hamburger and served to us at lunch.
1731,I heard Bart had Skinner killed by gangsters.
1732,That's not true! It's just a rumor! You're engaged in speculation. I know the law. You can't prove anything.
1733,You killed me Bart.
1734,"You killed me, Bart!"
1735,"You k-killed me, Bart!"
1736,Reverend Lovejoy! You've... you've come to comfort me?
1737,"Yes, Bart. ... There there... there there..."
1738,Kill my boy! Kill my boy!
1739,You're eight hours early for work. I like that.
1740,Did you kill my principal?
1741,Uh... Chinese guy with a mustache?
1742,No! My principal!
1743,"That Skinner guy? Naw, we didn't kill him."
1744,Nobody move! You're all under arrest for the murder of Seymour Skinner.
1745,What's a murder?
1746,"Don't play dumb with me. Cuff 'em, boys."
1747,"Oh, Bart. Why couldn't you have gotten a paper route like other boys."
1748,"Wait till I get you home, boy."
1749,What's that guy doing here?
1750,"Lionel Hutz, court-appointed attorney. I'll be defending you on the charge of -- Murder one?! Wow, even if I lose I'll be famous!"
1751,That Simpson boy is looking at a hundred and eighty years.
1752,"Yeah, you're right."
1753,Thank God we live in a country so hysterical over crime that a ten-year-old child can be tried as an adult.
1754,I didn't order this Skinner guy killed.
1755,But aren't you the head of this gang?
1756,"No, I just stop by the club occasionally to read the complimentary newspaper."
1757,Then who is the Kingpin... the Capo de tuti Capi?
1758,That's the guy.
1759,"Forgive me, Don Bartholomew."
1760,"We tried to stop the kid, but he wouldn't quit. It was like he went crazy."
1761,"Prostitution, loan sharking, numbers. The kid liked to wet his beak in everything."
1762,Mr.  you've been the boy's father for ten years. Do you really think he could be the leader of a murderous criminal syndicate?
1763,"Well, not the leader... I mean... Oh, it's true, it's true! All the pieces fit."
1764,"In light of the damning testimony from your fellow gangsters, your father, your teachers and a seemingly endless parade of emotionally shattered baby-sitters, this court has no choice but to..."
1765,Principal Skinner!
1766,I thought he was dead.
1767,"I suppose you're all wondering where I've been. It all started a week ago. I was at my desk, revising and updating the school dress codes, when..."
1768,I was suddenly confronted by a gang of toughs acting on behalf of one Bart Simpson. Or so they said.
1769,We really think there's promise in the boy.
1770,Get out!
1771,"Okay, okay, you don't have to yell."
1772,To get my mind off that ugly confrontation I went home and began bundling my old newspapers. But suddenly the pile fell. I was trapped. Let this be a lesson to recycle frequently.
1773,"Eww, lemon... ugh, cherry... hmm, custard... mmm, purple."
1774,"For the next week I stayed alive by eating my mother's delicious preserves and maintained my sanity by dribbling a nearby basketball with my one free hand. I made a game of it, seeing how many times I could bounce the ball in a day, then trying to break that record. Occasionally the police arrived to search my home."
1775,"Find anything this time, boys?"
1776,"Nah... no sign of him, chief."
1777,Princess Opal?
1778,I see nothing here but I'm afraid it's splitsville for Delta Burke and Major Dad.
1779,But they seemed so happy.
1780,"I shouted until I was hoarse, but they couldn't hear me."
1781,I'M IN HERE!!!
1782,"Well, let's go."
1783,"Okay, Chief."
1784,"Finally I realized if I was ever going to get out of there, I would have to do it myself."
1785,"I formed a crude rocket from a discarded cigar tube. And remembering an experiment from my days as a fourth grade science teacher, I concocted a fuel from baking soda and the juice of discarded lemon wedges."
1786,"The rocket took off with a mighty blast of carbon dioxide, dragging behind it the end of a vacuum cleaner cord."
1787,"I grabbed on to the vacuum cleaner, pushed the cord retractor button and was on my way to freedom."
1788,And that's my courageous story.
1789,"Your Honor, the prosecution moves that Principal Skinner's testimony be stricken from the record."
1790,Denied. Case dismissed.
1791,"Your Honor, do I still get paid?"
1792,Hey Bart! I hope there are no hard feelings.
1793,Get bent.
1794,"I deserved that. Look, I know we let you down, but me and the boys, we still think you've got a big future in racketeering and extortion."
1795,"Sorry Fat Tony. I used to think your gang was cool, but now I learned that crime doesn't pay."
1796,"Blood on the Blackboard: The Bart Simpson Story. Starring Richard Chamberlain as Principal Skinner, Joe Mantegna as Fat Tony, Jane Seymour as the woman he loved, and TV's Doogie Howser, Neil Patrick Harris as Bart Simpson."
1797,I'm scared. Let's get outta here.
1798,"Where do you want it, Skinner?"
1799,Not smart.
1800,"Hey, when do we get the check for this?"
1801,"Well, they said they changed it just enough so they don't have to pay us."
1802,You know who the real crooks are? Those sleazy Hollywood Producers.
1803,"Here's good news. According to this eye-catching article, SAT scores are declining at a slower rate."
1804,"Dad, I think this paper is a flimsy hodgepodge of pie graphs, factoids and Larry King."
1805,"Hey, this is the only paper in America that's not afraid to tell the truth: that everything is just fine."
1806,"""To me bestest bud  Happy Birthday, Bart."""
1807,that's so sweet. May I see the card?
1808,Hey there ten-year old. I couldn't afford to get you a new drum...
1809,...so how about a nice pair of bongos? Ewww.
1810,"C'mon, open it open it open it."
1811,"Uh, maybe a little later, Bart."
1812,Aw  just cuz your mom didn't let you have a party doesn't mean you can't get a present.
1813,"We had a lovely time on Saturday, Milhouse."
1814,I liked the balloons.
1815,I liked the party hats.
1816,What are you girls talkin' about?
1817,Twins. Open your present.
1818,"They're official Krusty the Clown walkie-talkies. I'll keep one and you keep one. Now whenever you want to talk to me, just call me on the phone and tell me to turn on my walkie-talkie."
1819,"I'd like to express my appreciation for Saturday. Jelly bean baskets, personalized noisemakers -- those little touches are what made it enduring."
1820,What's he talkin' about?
1821,"Uh... hey, look at that dog. Isn't that somethin'?"
1822,"Wow, brown!"
1823,"Whoa, Springfield Elementary, last stop. Oh, and by the way, I'd like to say thanks, and 'applause, applause' to 'birthday boy' Milhouse for his totally bitchin' party on Saturday."
1824,"And uh,  I think I left my pants on your roof."
1825,You did have a party. You didn't invite me. And I thought we were best friends.
1826,"Sorry, Bart."
1827,Bye little dudes. Don't learn anything I wouldn't learn.
1828,"Ah, Monday morning. Time to pay for your two days of debauchery, you hung-over drones."
1829,"T.G.I.M., Sir."
1830,"Yeah. so, what did you do this weekend, Smithers?"
1831,"Well, I caught up on my laundry. And wrote a letter to mother. Oh, here's the kicker, I took Hercules out to be clipped."
1832,Who the devil is Hercules?
1833,"He's my Yorkshire terrier, sir. He's kind of tiny, so... you know, it's a joke. Here's a picture of Herkie."
1834,"Well, Smithers, don't you know how to paint the town red."
1835,May I ask how you spent your weekend?
1836,"Well, a bit overly familiar, but I'll allow it. I took in a movie. An appalling little piece of filth. Its leading lady was a blonde harlot who spent half the film strolling around naked as a jaybird."
1837,"Just give the great unwashed a pair of oversized breasts and a happy ending, and they'll 'oink' for more every time."
1838,What a movie. And that blonde cutie. Does she have assets.
1839,Sounds like my kind of flick.
1840,And how.
1841,Otto! Welcome!
1842,"Apu! Hey, got a ba-ad case of the munchies, man. Time for a Heat-lamp Dog."
1843,"Oh, Otto. Otto, did you know there's a small child inside your bus?"
1844,"Ooo, good thing you warned me. I was on my way to Mexico."
1845,"Call me old-fashioned, but movies were sexier when the actors kept their clothes on. Vilma Banky could do more for me with one raised eyebrow than an entire..."
1846,Warning. Problem in sector 7-G.
1847,"7-G? Good God, who's the safety inspector there?"
1848,eh? Good man? Intelligent?
1849,"Actually sir, he was hired under ""Project Bootstrap."""
1850,"Thank you, President Ford."
1851,Huh? Noise. Bad noise!
1852,Five minutes before critical mass.
1853,"Critical wha...? Okay, okay, don't panic. Whosever problem this is, I'm sure they know how to handle it."
1854,Huh? AHHH!! It's my problem! We're doomed!!!
1855,Sector 7-G is now being isolated.
1856,"My best friend shafted me. I'll never get over this, Otto-man."
1857,"Aw, sure you will. You know, once my old lady ran off and married my brother. Well, it hurt, but here it is a month later and I'm sleeping on their couch."
1858,"Margarita, I want you."
1859,"Mr. Devereaux, I can't work under these conditions."
1860,Have it your way baby. You're fired.
1861,"Oh, Avery."
1862,"Call me Mr. Devereaux, will you."
1863,We interrupt Search for the Sun for this special news bulletin...
1864,Meltdown crisis: The first couple of minutes.
1865,K-B-B-L. Talk radio.
1866,"Forget the hair, just give me the blush. Oh, we're on."
1867,This station has just learned that a serious crisis is in progress at the Springfield Nuclear Power Plant.
1868,Oh my Lord!
1869,On the line with us now is plant owner C. Montgomery Burns. Mr. Burns?
1870,"Oh hello, Kent. Right now, skilled nuclear energy technicians are calmly correcting a minor, piffling malfunction."
1871,"But, I can assure you and the public that there is absolutely no danger whatsoever --"
1872,-- things couldn't be more ship-shape.
1873,"Sir, where's my radiation suit?"
1874,How the hell should I know?
1875,"Uh, Mr. Burns, people are calling this a meltdown."
1876,"Oh, meltdown is one of those annoying buzzwords. I prefer to call it an unrequested fission surplus."
1877,"Homie, please be all right."
1878,"Gotta think! Gotta think! Okay, somewhere there's a thingee that tells you how to work this stuff. The um... the, uh... the manual! The manual! RIGHT."
1879,Who'd have thought a nuclear reactor would be so complicated!
1880,Ninety seconds to core meltdown.
1881,"Sir, there may never be another time to say... I love you, sir."
1882,"Oh, hot dog. Thank you for making my last few moments on earth socially awkward."
1883,Looks like this is the end.
1884,That's all right. I couldn't have led a richer life.
1885,After the meltdown we can expect roving bands of thieves to tie up traffic for ours.
1886,I don't like this program.
1887,Change the channel.
1888,Wheel of Fortune!
1889,"I don't understand anything! When they look up stupid in the dictionary, there'll be a picture of me!"
1890,"Dear Lord, if you spare this town from becoming a smoking hole in the ground, I'll try to be a better Christian. I don't know what I can do... Ummm, oooh, the next time there's a canned food drive I'll give the poor something they'd actually like instead of old lima beans and pumpkin mix."
1891,One minute to core meltdown.
1892,Shut up!
1893,it's all up to you. It's showtime!
1894,"Okay, okay, think back to your training..."
1895,"Now  this may very well save your life one day. This, Homer..."
1896,"Please pay attention. This button here controls the emergency override circuit. In the event of a meltdown, push this button and only this button."
1897,"Ooh, a side."
1898,Do you see which button I'm pushing?
1899,"Yeah, yeah, yeah, push the button, got it."
1900,"This is all your fault! Okay, gotta pick a button. Pick a button. Pick a button. Uh, one potato, two potato, three potato, four... No, wait! Bubble gum, bubble gum, in a dish, how many pieces do you wish? No, no!"
1901,Thirty seconds to core meltdown.
1902,"Oh, Smithers, I guess there's nothing left but to kiss my sorry butt good-bye!"
1903,"May I, sir?"
1904,"These unfortunate people here will be instantly killed. This circle, which I am sad to say we are in, will experience a slower, considerably more painful death."
1905,Good Lord.
1906,They called me old-fashioned for teaching the duck and cover. But who's laughing now?
1907,Fifteen seconds to core meltdown.
1908,"Eenie meenie minee moe, catch a tiger by the toe, if he hollers let him go... Eenie meenie minee... Moe."
1909,All systems returning to normal. Danger in 7-G neutralized. Have a nice day.
1910,Will I ever see you again?
1911,"Sure, baby. Next meltdown."
1912,"I'd like to solve the puzzle: ""Three loins in the fountain."""
1913,"Yes, we've isolated the problem and wouldn't you know? False alarm. It seems a single wayward crow flew into our warning system."
1914,"Very good. Well sir, your point about nuclear hysteria is well taken. This reporter promises to be more trusting and less vigilant in the future."
1915,"Excellent. Well, ""ta"". Hmmm, Smithers, I can still sell 'em snake oil. Now bring me a wine spritzer -- and don't be stingy with the vino."
1916,"So, Smithers, it seems you've underestimated one Homer Simpson... our next Employee-of-the-Month."
1917,a little salt?
1918,my mom won't let me be your friend anymore. That's why you couldn't come to the party.
1919,What's she got against me?
1920,She says you're a bad influence.
1921,"Bad influence my ass! How many times have I told you, never listen to your mother!"
1922,But  she threatened to cut off my allowance.
1923,"Whatever she's paying you, I'll double it."
1924,"I'm really sorry, Bart."
1925,"Sir, about Employee-of-the-Month... I-I-if you'll recall, I'm the one who put a five percent ceiling on the Keogh Plan, which saved this company --"
1926,"Smithers, you bean counter, give it up! Simpson's my man!"
1927,"Hey, way to save our lives."
1928,"Yeah, we owe you one."
1929,"Hey, you know boys, a nuclear reactor's a lot like a woman. You just have to read the manual and press the right button."
1930,Simpson -- Monty Burns. Come with me.
1931,"Now, now. That will do.  for your bravery and skill, we award you this ham, this plaque, this discount coupon book, and my own personal thumbs up!"
1932,"And to insure your immortality, your heroic visage will be added to our Wall of Fame... Oh, and uh, what's this? A congratulatory phone call from Earvin ""Magic"" Johnson."
1933,Magic Johnson! Y'ello.
1934,Is this really Homer Simpson?
1935,Wow.  I just used our last time out to call and congratulate you on diverting that nuclear holocaust.
1936,"Well, thank you."
1937,"Magic, if you play on that ankle, you'll be in incredible pain."
1938,I don't care.
1939,"Uh, Magic. What if people think a guy's a hero but he was really just lucky?"
1940,Don't worry. Sooner or later people like that are exposed as the frauds they are.
1941,"Thanks, Magic."
1942,you're not laughing. Too subtle?
1943,"I'll think about it, Marge."
1944,Nah. I'm just depressed. Milhouse's mom won't let me play with him any more.
1945,did you go out and buy a twenty pound ham? And what's all this?
1946,"""For heroic competence... for narrowly averting a melt-down and proving, without question, that nuclear power is completely safe... Employee-of-the-Month!"" Ohh, Homer!"
1947,A role model in my very own home. How convenient.
1948,"Look, I get enough admiration and respect at work. I don't need it here at home."
1949,"How are you enjoying your ham, Homie?"
1950,It tastes so bitter. It's like ashes in my mouth!
1951,"Hmm, it's actually more of a honey glaze --"
1952,Maybe you ate a clove.
1953,"What's your problem, boy?"
1954,I had a fight with Milhouse.
1955,That four-eyes with the big nose? You don't need friends like that.
1956,How Zen.
1957,What? What is it? What are you doing?
1958,Looking at you with quiet awe.
1959,"Well, as long as it's quiet."
1960,Milhouse to  Milhouse to Bart... Please don't hate me. Please?
1961,"Oooh, right next to the boss. Eh, he'll never know who did it."
1962,"Ah Simpson! There's someone I want you to meet. Aristotle Amadopolis, owner of the Shelbyville Nuclear Power facility."
1963,Huh? Wha?...
1964,It seems Ari's been having terrible worker problems at Shelbyville.
1965,They've lost their zest for work. You must help them find their Eanae-eharatou-nah-duleve!
1966,Their Eanae-eharatou-nah-dule-what?
1967,We want you to give them a pep talk that turns them from a bunch of donut-eating goof-offs into a pack of Homer Simpsons.
1968,"But I really can't tell them anything, sir."
1969,"Oh cut the false modesty, it's getting tiresome. Besides, it's your duty. Employee of the Month isn't all ham and plaques."
1970,"Well! Smithers, how kind of you to pay us a visit."
1971,"Couldn't help it, sir. The parking here is terrible."
1972,This man has no love for his power plant.
1973,Begone from my sight.
1974,That one's always been a problem.
1975,One... two... three... Community chest.
1976,Ah. I've won second prize in a beauty contest. Collect ten bucks.
1977,Ha ha! You're losing.
1978,don't feed your sister hotels!
1979,"Don't worry mom, there's tons of these things."
1980,I think that game is too old for her. Why don't you go play with Milhouse?
1981,I don't wanna play with Milhouse.
1982,You mean you still haven't made up with him?
1983,"It's his mom. She says I'm a bad influence. C'mon Maggie, let's go throw rocks at that hornet's nest."
1984,"Mrs. Van Houten, I'm Bart's mother -- we met in the emergency room when the boys drank paint."
1985,"I remember. Please, come in."
1986,"I'm sorry, but I think it would be better if Milhouse didn't see your son."
1987,"Look, I know Bart can be a handful but I also know what he's like inside. He's got a spark. It's not a bad thing... of course it makes him do bad things..."
1988,"Well,  the other day, Milhouse told me my meatloaf sucks. He must have gotten that from your little boy, because they certainly don't say that word on TV!"
1989,"Well, I can't defend everything he does. But let's face it, all Bart and Milhouse have is each other. They're too young for girls. And they're a popular target for bullies. And in the Christmas pageant, they're always sheep. Please, please, let them be friends!"
1990,"So the next time somebody tells you county folk are good, honest people, you can spit in their faces for me!"
1991,"I will, Mr. Gumbel. But if you'll excuse me, I'm profiling my dad for the school paper. I thought it would be neat to follow him around for a day to see what makes him tick."
1992,"Oh, that's sweet. I used to follow my dad to a lot of bars too."
1993,"Here you go. One beer, one chocolate milk."
1994,"Uh, excuse me, I have the chocolate milk."
1995,"What's the matter, Homer? The depressin' effects of alcohol usually don't kick in 'til closing time."
1996,"He's just a little nervous. He has to give a speech tomorrow on ""How To Keep Cool In A Crisis."""
1997,What am I gonna do? What am I gonna do?
1998,"Hey, I had to give a speech once. I was pretty nervous, so I used a little trick. I pictured everyone in their underwear. The judge, the jury, my lawyer, everybody."
1999,Did it work?
105416,All eggnog is terrible!
105417,Those stockings are not hung by the chimney with care.
105418,Why did I do this for money? Why did I do this for money?
105419,And the Christmas special on your television is one of the worst.
105420,"We now return to ""King Winter Feasts On His Children."""
105421,"By the time Princess Summer comes to save you, you'll all be blood in my beard. Your own father's beard!"
105422,How long to see Santa?
105423,How would I know? I'm an accountant.
105424,"I imagine for small business, huh?"
105425,"God, I hate Christmas."
105426,"Mr. Flanders, where's your store?"
105427,"Well... I'm down to a kiosk, thanks to that place."
105428,"Actually, half a kiosk. Sharing it with Nasreen here."
105429,No cream is finer than mall kiosk cream. J Lo use it!
105430,It is no wonder you are not married. Flip me back.
105431,"If I have to give presents, I'll give presents with a purpose. One for Maggie... check."
105432,All that's left is Bart.
105433,"No, no, no, no, no, no... ah, perfect!"
105434,...ALL FROM SATAN'S POWER AS WE WERE GONE ASTRAY...
105435,O-O TIDINGS OF COM-OMFORT AND JOY!
105436,"IN BETHLEHEM, IN ISRAEL / THIS BLESSED BABE WAS BORN!"
105437,"Enough! Stop! Christmas carols only have one verse! Well they may have more, but the second verse is where they get all weird and religiousy."
105438,"More wassail, please."
105439,And don't skimp on the aromatic bitters!
105440,"For your information, Gloria, my ""wassail"" is just Gatorade I put in the microwave!"
105441,I drank that under the mistletoe!
105442,"It's not mistletoe, just cherries and lettuce!"
105443,I thought when I ate it it wasn't poisonous.
105444,I've opened up my house to you. And all you do is fill this joyous season with petty complaints.
105445,Not now. Take out that pillow and put it in room three.
105446,The pillow acted as a girdle.
105447,Any more questions?
105448,"Ah yes, will the pudding be figgy?"
105449,The pudding will be Jell-O.
105450,Quite so.
105451,I'm going to sulk in my room.
105452,The only thing good about this place is the piano player.
105453,An Angelica Button wizard robe... with wand pocket!
105454,And wand.
105455,Professor Digglesby's wand! Now I have every wizarding stick from the Spells and Potions Department of Wagglepoofs Academy!
105456,Don't make me learn about it.
105457,"I know this Christmas has been a little rocky even for the Simpsons. But I think these gifts born of thought and love will restore the balance of prajna and samsara, I mean holly and jolly."
105458,"Now dad, I'd like to give you your present."
105459,You got me weed?
105460,"Even better! They're bags of seeds, so that you can plant a garden and watch it grow."
105461,"That's great, sweetie. After all that time and hard work, I'll have... radishes?! It's the most hated part of salad, which is the most hated part of dinner! Radishes. Nothing but radishes."
105462,What? I'm saving them from the struggle of life.
105463,"Well, at least you're eating vegetables."
105464,Okay  open your present. It's the one I'm most excited about.
105465,Plastic bubbling vomit... plastic bubbling vomit...
105466,"What?! Lis, you're smart. Why would you give me a book? 'Cause it's easy to wrap?"
105467,Nothing is easy to wrap. I have trouble with scissors!
105468,the brochure promised us a happy Christmas.
105469,My uncle died in your bed. Merry Christmas.
105470,What? N.C. Wyeth! These are book illustrations!
105471,"Stop it, stop it! Why in the world would you burn a book?"
105472,"Actually, the idea to do this came from a book."
105473,Fahrenheit 451 by Ray Bradbury?
105474,"What? No, I got it from this."
105475,How could you burn the present I gave you?
105476,Because it's my present! Did you give it to me because you thought I'd like it or because you wanted to feel better about yourself?
105477,Children... perhaps it's time that I explain the true meaning of Christmas.
105478,"Shut up, Flanders!"
105479,Now did you check the room to make sure you haven't left anything?
105480,All set.
105481,"Need directions, or a bottle of water?"
105482,"No thanks, we're fine."
105483,Thank you sir!
105484,"Oh right, we're still doing that."
105485,"Come on, I'll drive you to the airport."
105486,"Where are my keys? Oh, right here."
105487,you were right.
105488,"If you smell your farts in a dream, you die?"
105489,"No, about Christmas. So I went out this morning and I got you this."
105490,"It's a tablet with books on it, but also apps, like ""Worms With Friends."""
105491,Wow. But how'd you afford it?
105492,I sold the gift you gave me.
105493,Get the twist?
105494,"You're saying it's from Maggie, but actually it's from you. Thanks, Lis."
105495,Now why don't you donate that to whatever hopeless cause you want.
105496,"Thanks, Bart. This'll make a lot of arctic loons very happy."
105497,"Listen, I just wanted to say I'm sorry I overreacted. Thank you all for coming."
105498,"Well, we have something to say to you, Marge."
105499,WE WISH YOU A MERRY CHRISTMAS / WE WISH YOU A MERRY CHRISTMAS...
105500,WE WISH YOU A MERRY CHRISTMAS / AND A HAPPY NEW YEAR!
105501,GOOD TIDINGS WE BRING--
105502,No second verses! They creep me out.
105503,"Okay, we'll sing a different one."
105504,GOOD KING WENCESLAS LOOKED OUT / ON THE FEAST OF STEPHEN.
105505,That one creeps me out from the beginning.
105506,WHEN THE SNOW LAY ROUND ABOUT / DEEP AND CRISP AND EVEN / BRIGHTLY SHONE THE MOON THAT NIGHT / THOUGH THE FROST WAS CRUEL...
105507,"Oh, the happy sound of a blender."
105508,"Oh, boy. Monday morning chit chat at the water cooler. The only reason to have done stuff over the weekend."
105509,...the only part of the movie I didn't get is: now Radioactive Man gets his powers from his suit?
105510,"The suit is slowly killing him, but if he doesn't wear it, he'll die."
105511,"Wait, you guys saw the new Radioactive Man sequel?"
105512,"Uh, it's not a sequel, it's a reboot."
105513,"Actually, this one undoes the stuff from the last one, so it's a de-boot."
105514,Stop talking! I haven't seen it yet!
105515,Radioactive Man Re-Rises came out three days ago. It is fair game.
